"transcript.id"	"transcript.type"	"total.reads"	"aligned.max"	"alignment.mid"	"alignment.min"	"alignment.score"	"adjusted.score"
ENST00000444703.1	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000376561.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000361524.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000340556.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000322716.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000389286.6	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000376957.4	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000409411.3	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000319006.5	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000359742.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000261908.8	protein_coding	6	3	3	0	0.8765432098765432	7330.530864197531
ENST00000307149.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000269216.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000456430.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000381342.4	protein_coding	17	15	1	1	1.345050183961747E-5	0.11248654688472091
ENST00000395862.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000357332.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000371691.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000397040.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000355379.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000322213.6	protein_coding	101	87	10	4	1.770627395229332E-27	1.4807756906302906E-23
ENST00000306917.4	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000279873.9	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000445915.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000570646.3	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000545174.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000236040.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000255977.4	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000523111.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000438724.3	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000270001.9	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000396153.4	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000333628.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000269349.5	protein_coding	23	21	1	1	3.374647042499106E-8	2.8222173216420023E-4
ENST00000292852.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000341514.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000368759.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000406043.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000326317.8	protein_coding	2	1	1	0	1.0	8363.0
ENST00000263196.9	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000296511.7	protein_coding	10	10	0	0	5.080526342529086E-5	0.4248844180257074
ENST00000265616.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000296702.7	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000434753.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000278590.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000349062.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000415585.4	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000481247.3	protein_coding	2	1	1	0	1.0	8363.0
ENST00000438737.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000395159.4	protein_coding	2	1	1	0	1.0	8363.0
ENST00000225969.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000468148.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000621442.2	protein_coding	47	46	1	0	1.0718793104213252E-20	8.964126673053543E-17
ENST00000392325.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000262127.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000439984.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000394067.4	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000302278.5	protein_coding	17	16	1	0	8.130700593896571E-7	0.0067997049066757026
ENST00000617633.2	protein_coding	8	7	1	0	0.007773205304069501	65.00731595793324
ENST00000483083.2	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000301280.7	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000311172.9	protein_coding	1	1	0	0	1.0	8363.0
ENST00000320640.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000447750.4	protein_coding	11	10	1	0	3.895070195938966E-4	3.257447204863757
ENST00000397676.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000373264.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000354359.9	protein_coding	7	7	0	0	0.0013717421124828531	11.4718792866941
ENST00000332598.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000544417.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000360971.4	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000375687.6	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000396821.5	protein_coding	49	45	3	1	4.440728285434892E-17	3.7137810651092004E-13
ENST00000267750.6	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000244741.7	protein_coding	2	1	1	0	1.0	8363.0
ENST00000382865.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000265593.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000233055.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000336470.6	protein_coding	9	9	0	0	1.5241579027587258E-4	1.2746532540771225
ENST00000354764.6	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000358602.6	protein_coding	39	38	1	0	5.848162234718641E-17	4.890818076895199E-13
ENST00000253506.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000341491.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000495180.1	protein_coding	1	1	0	0	1.0	8363.0
ENST00000618773.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000261658.4	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000308406.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000370577.5	protein_coding	2	1	1	0	1.0	8363.0
ENST00000356493.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000399953.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000224949.6	protein_coding	9	7	1	1	0.024843773814967232	207.76848041457097
ENST00000377390.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000262432.10	protein_coding	1	1	0	0	1.0	8363.0
ENST00000409304.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000272139.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000373839.5	protein_coding	2	1	1	0	1.0	8363.0
ENST00000371429.3	protein_coding	11	11	0	0	1.6935087808430286E-5	0.1416281393419025
ENST00000569715.3	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000423245.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000328834.7	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000377533.5	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000526639.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000316950.8	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000083182.5	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000013070.8	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000399151.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000327827.9	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000519065.3	protein_coding	56	50	5	1	1.2647341173040067E-17	1.0576971423013408E-13
ENST00000265340.9	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000367249.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000262367.7	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000378495.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000230056.5	protein_coding	8	7	1	0	0.007773205304069501	65.00731595793324
ENST00000305264.5	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000538366.3	protein_coding	11	11	0	0	1.6935087808430286E-5	0.1416281393419025
ENST00000610722.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000261778.1	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000399820.5	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000361822.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000283131.3	protein_coding	47	43	4	0	3.37131881060358E-16	2.819433921307774E-12
ENST00000230461.8	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000317552.6	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000369633.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000360565.5	protein_coding	6	5	1	0	0.053497942386831275	447.40329218106996
ENST00000327697.8	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000435235.3	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000221448.7	protein_coding	18	15	2	1	5.5575274440376846E-5	0.46477602014487157
ENST00000233710.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000256997.5	protein_coding	12	12	0	0	5.645029269476762E-6	0.047209379780634164
ENST00000453551.4	protein_coding	6	5	1	0	0.053497942386831275	447.40329218106996
ENST00000622845.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000366920.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000536254.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000356769.5	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000355499.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000373024.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000330914.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000622044.1	protein_coding	1	1	0	0	1.0	8363.0
ENST00000579847.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000448232.4	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000590954.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000226798.6	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000317147.7	protein_coding	33	26	4	3	3.3782783305123086E-7	0.002825254167807444
ENST00000323460.7	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000169551.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000376406.5	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000457607.1	protein_coding	24	22	1	1	1.2247302612532166E-8	1.024241917486065E-4
ENST00000442977.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000312397.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000395240.5	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000518297.3	protein_coding	5	4	1	0	0.13580246913580246	1135.716049382716
ENST00000565184.3	protein_coding	3	2	1	0	0.7777777777777778	6504.555555555556
ENST00000510461.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000613675.2	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000298492.5	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000316843.6	protein_coding	8	8	0	0	4.572473708276177E-4	3.8239597622313672
ENST00000343818.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000504948.3	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000302060.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000423556.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000321612.6	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000262030.5	protein_coding	66	59	6	1	1.027059207332483E-20	8.589296150921556E-17
ENST00000274140.7	protein_coding	9	8	1	0	0.002895900015241579	24.218411827465328
ENST00000337130.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000264956.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000295087.10	protein_coding	1	1	0	0	1.0	8363.0
ENST00000295971.9	protein_coding	1	1	0	0	1.0	8363.0
ENST00000306368.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000378482.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000370025.6	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000246554.5	protein_coding	4	4	0	0	0.037037037037037035	309.7407407407407
ENST00000219439.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000307363.7	protein_coding	7	6	1	0	0.0205761316872428	172.0781893004115
ENST00000376335.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000285243.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000239243.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000263708.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000376980.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000238081.5	protein_coding	8	8	0	0	4.572473708276177E-4	3.8239597622313672
ENST00000437048.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000321998.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000612273.1	protein_coding	1	1	0	0	1.0	8363.0
ENST00000370800.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000266087.9	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000310775.9	protein_coding	27	24	2	1	9.779823829781797E-9	8.178866668846516E-5
ENST00000326019.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000539888.3	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000262809.6	protein_coding	2	1	1	0	1.0	8363.0
ENST00000407148.3	protein_coding	5	3	2	0	0.6296296296296297	5265.592592592593
ENST00000618604.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000406785.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000393609.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000372422.4	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000243498.7	protein_coding	7	7	0	0	0.0013717421124828531	11.4718792866941
ENST00000273398.5	protein_coding	23	21	2	0	3.374647042499106E-8	2.8222173216420023E-4
ENST00000422154.4	protein_coding	18	13	4	1	0.002557786766925484	21.390770731797822
ENST00000425690.5	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000261168.6	protein_coding	5	4	1	0	0.13580246913580246	1135.716049382716
ENST00000299402.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000435786.4	protein_coding	1	1	0	0	1.0	8363.0
ENST00000453671.3	antisense	1	1	0	0	1.0	8363.0
ENST00000295851.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000315717.7	protein_coding	8	8	0	0	4.572473708276177E-4	3.8239597622313672
ENST00000377474.3	protein_coding	6	6	0	0	0.00411522633744856	34.415637860082306
ENST00000381103.4	protein_coding	10	9	1	0	0.001066910531931108	8.922572778539855
ENST00000309007.7	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000399788.4	protein_coding	12	12	0	0	5.645029269476762E-6	0.047209379780634164
ENST00000370132.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000579584.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000376215.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000561547.3	antisense	1	1	0	0	1.0	8363.0
ENST00000586895.3	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000397410.7	protein_coding	4	3	1	0	0.3333333333333333	2787.6666666666665
ENST00000402228.5	protein_coding	1	1	0	0	1.0	8363.0
ENST00000340913.8	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000258424.2	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000562435.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000376228.7	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000351898.8	protein_coding	1	1	0	0	1.0	8363.0
ENST00000370550.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000495430.1	antisense	1	1	0	0	1.0	8363.0
ENST00000615152.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000352618.6	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000346183.5	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000205061.7	protein_coding	19	16	2	1	2.1875456359769347E-5	0.18294444153675105
ENST00000374583.1	protein_coding	1	1	0	0	1.0	8363.0
ENST00000348367.6	protein_coding	1	1	0	0	1.0	8363.0
ENST00000427718.4	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000371941.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000265174.4	protein_coding	10	10	0	0	5.080526342529086E-5	0.4248844180257074
ENST00000360579.9	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000433627.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000537238.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000619878.2	protein_coding	1	1	0	0	1.0	8363.0
ENST00000216951.4	protein_coding	5	5	0	0	0.012345679012345678	103.24691358024691
ENST00000374450.5	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000305783.10	protein_coding	1	1	0	0	1.0	8363.0
ENST00000433351.4	protein_coding	3	3	0	0	0.1111111111111111	929.2222222222222
ENST00000298875.6	protein_coding	10	7	3	0	0.05898491083676269	493.2908093278464
ENST00000329841.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000602728.1	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000427575.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000558518.3	protein_coding	9	9	0	0	1.5241579027587258E-4	1.2746532540771225
ENST00000462138.3	protein_coding	2	2	0	0	0.3333333333333333	2787.6666666666665
ENST00000445902.2	protein_coding	6	5	1	0	0.053497942386831275	447.40329218106996
ENST00000568000.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000556143.3	protein_coding	1	1	0	0	1.0	8363.0
ENST00000261560.7	protein_coding	1	1	0	0	1.0	8363.0
ENST00000288135.5	protein_coding	1	1	0	0	1.0	8363.0
